Epoch,TestAccuracy
0,82.87
1,84.53
2,83.75
3,84.53
4,85.02
5,84.26
6,86.0
7,85.16
8,85.8
9,85.63
10,85.71
11,86.11
12,83.83
13,85.79
14,86.82
15,85.73
16,86.79
17,86.07
18,86.22
19,85.61
20,86.04
21,86.49
22,86.82
23,86.55
24,85.2
25,85.34
26,86.26
27,83.97
28,85.8
29,85.11
30,85.46
31,86.54
32,87.3
33,85.66
34,86.76
35,86.9
36,86.81
37,85.32
38,86.95
39,84.08
40,86.24
41,86.2
42,86.96
43,85.89
44,85.61
45,87.31
46,86.74
47,86.46
48,86.38
49,85.35
50,89.57
51,89.74
52,89.93
53,89.87
54,89.93
55,89.91
56,89.99
57,90.03
58,89.6
59,89.74
60,89.83
61,89.85
62,89.71
63,90.07
64,89.94
65,90.13
66,90.01
67,89.92
68,89.84
69,89.79
70,89.84
71,89.97
72,89.97
73,89.87
74,89.77
75,89.87
76,89.86
77,89.92
78,90.01
79,90.04
80,90.02
81,89.94
82,89.87
83,90.0
84,90.03
85,90.05
86,90.06
87,90.07
88,89.83
89,90.05
90,89.99
91,90.08
92,90.05
93,89.93
94,90.07
95,90.02
96,90.22
97,90.07
98,90.21
99,90.03
