Epoch,TestAccuracy
0,83.63
1,84.25
2,85.2
3,85.55
4,85.55
5,86.19
6,85.36
7,86.34
8,86.49
9,85.76
10,86.33
11,87.23
12,86.84
13,86.76
14,86.93
15,86.31
16,85.2
17,86.98
18,86.23
19,85.72
20,86.59
21,86.77
22,85.89
23,85.54
24,86.28
25,87.15
26,85.3
27,86.96
28,86.79
29,86.04
30,86.48
31,85.18
32,87.25
33,85.39
34,85.73
35,85.03
36,86.58
37,87.26
38,85.35
39,87.58
40,87.56
41,85.45
42,86.37
43,84.38
44,86.75
45,85.81
46,86.26
47,87.08
48,86.13
49,85.49
50,89.64
51,89.82
52,89.98
53,90.08
54,89.96
55,89.99
56,90.16
57,90.06
58,90.13
59,90.0
60,90.23
61,90.06
62,90.36
63,90.24
64,90.09
65,90.02
66,90.24
67,90.19
68,90.09
69,90.35
70,89.91
71,90.27
72,90.13
73,90.28
74,90.28
75,90.26
76,90.16
77,90.22
78,90.2
79,90.24
80,90.11
81,90.24
82,90.22
83,90.02
84,90.19
85,90.21
86,90.2
87,90.09
88,90.22
89,90.14
90,90.12
91,90.08
92,90.13
93,90.12
94,90.17
95,90.18
96,90.2
97,90.25
98,90.26
99,90.03
