epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.3752148658265848,88.396,0.43070608207696603,85.65,0.010000000000000002
2,0.25315243512620705,91.508,0.3943049574765978,87.26,0.010000000000000002
3,0.227765705274499,92.176,0.4466951532831675,85.91,0.010000000000000002
4,0.2187576518987146,92.606,0.33714509500732903,89.2,0.010000000000000002
5,0.2082948653060762,92.892,0.40887834037406534,87.77,0.010000000000000002
6,0.19612419738641482,93.22,0.4135203853815417,87.0,0.010000000000000002
7,0.18794236934322225,93.61,0.35965893210112293,88.67,0.010000000000000002
8,0.18117835539419327,93.784,0.3363577433024781,89.46,0.010000000000000002
9,0.1779548047143785,93.978,0.3812893410272236,88.68,0.010000000000000002
10,0.16876600598892594,94.276,0.42247966761830485,87.65,0.010000000000000002
11,0.17002821974742138,94.254,0.3522557003211372,89.12,0.010000000000000002
12,0.16619953112986385,94.27,0.3183237759372856,90.15,0.010000000000000002
13,0.16112753807964836,94.568,0.36770119244539284,88.76,0.010000000000000002
14,0.1572435643819287,94.66,0.32172254256055327,90.03,0.010000000000000002
15,0.15447741760241102,94.79,0.3486062333553652,89.28,0.010000000000000002
16,0.1523667805449432,94.83,0.4054967934572244,88.17,0.010000000000000002
17,0.14884222200726305,94.924,0.35441750514356396,89.18,0.010000000000000002
18,0.15003271898269044,94.918,0.3476714182503616,89.14,0.010000000000000002
19,0.14497998664560524,95.064,0.32632564215720455,89.88,0.010000000000000002
20,0.14115873001077595,95.174,0.30622500303802613,90.55,0.0010000000000000002
21,0.08510345453515535,97.272,0.2332046793042859,92.74,0.0010000000000000002
22,0.06372163638644054,97.99,0.22823295930895623,92.82,0.0010000000000000002
23,0.05733140760703998,98.284,0.22783217616850818,92.95,0.0010000000000000002
24,0.05255613106367228,98.424,0.2319796754023697,92.95,0.0010000000000000002
25,0.04883723224625182,98.494,0.23098912198520913,93.02,0.0010000000000000002
26,0.04505347037959434,98.618,0.23391019868888432,93.04,0.0010000000000000002
27,0.04259687517543354,98.714,0.24180932682526263,92.87,0.0010000000000000002
28,0.040653761076119246,98.766,0.2408872804121126,92.97,0.0010000000000000002
29,0.038738162759358014,98.844,0.24443196392134775,93.05,0.0010000000000000002
30,0.036881625148541555,98.906,0.24162454931419106,92.87,0.00010000000000000003
31,0.03516122341260809,98.972,0.2423117680451538,92.89,0.00010000000000000003
32,0.03266512531944362,99.084,0.23950579460663132,92.98,0.00010000000000000003
33,0.03217176040348685,99.086,0.24128070737742172,92.98,0.00010000000000000003
34,0.033983146657457435,99.0,0.24167470454792433,92.96,0.00010000000000000003
35,0.03264885098385194,99.102,0.24049464349128022,92.93,0.00010000000000000003
36,0.032809586430926,99.024,0.24167418828870676,92.96,0.00010000000000000003
37,0.031518289258422524,99.084,0.24127760369189177,93.05,0.00010000000000000003
38,0.031882262606497694,99.11,0.24060774500234217,92.99,0.00010000000000000003
39,0.031859000666005076,99.102,0.24069561582954624,92.96,0.00010000000000000003
40,0.030744511373293447,99.148,0.2410454165331925,93.02,0.00010000000000000003
