epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.5622513782795128,81.912,0.49624509694455543,83.73,0.010000000000000002
2,0.36132098555259995,87.766,0.4742577313622342,84.14,0.010000000000000002
3,0.3212196549491199,89.038,0.42923398976084554,86.39,0.010000000000000002
4,0.29731307119664635,89.932,0.3887048861648463,87.01,0.010000000000000002
5,0.2813816277877144,90.266,0.3932004518146756,87.29,0.010000000000000002
6,0.2625224792286563,90.954,0.36808788870708853,87.99,0.010000000000000002
7,0.25693817190883106,91.12,0.35774365048619766,87.99,0.010000000000000002
8,0.24312518133074426,91.668,0.42174999623359005,86.39,0.010000000000000002
9,0.23340402320599007,92.018,0.37198233896795707,88.14,0.010000000000000002
10,0.2310314899324761,91.906,0.3354388669699053,88.85,0.010000000000000002
11,0.22714526551153957,92.228,0.3522613655917252,88.98,0.010000000000000002
12,0.21742049339787126,92.608,0.3533499953867514,88.38,0.010000000000000002
13,0.2145662129287372,92.648,0.3628686372237869,88.02,0.010000000000000002
14,0.207953230537417,92.882,0.3560142324695104,88.71,0.010000000000000002
15,0.20637894795297662,92.91,0.3532706355746788,88.94,0.010000000000000002
16,0.20014783267474845,93.192,0.3396382260171673,89.04,0.010000000000000002
17,0.19936351017916903,93.178,0.40527965373630764,87.72,0.010000000000000002
18,0.19446902100920982,93.366,0.3582492612207992,88.81,0.010000000000000002
19,0.19670654850466476,93.222,0.3921077177871632,87.71,0.010000000000000002
20,0.18564811703341697,93.62,0.33011584229107144,89.84,0.0010000000000000002
21,0.12668771426314893,95.81,0.25192226309187804,92.18,0.0010000000000000002
22,0.10279226531762906,96.66,0.24868244564608682,92.16,0.0010000000000000002
23,0.09833819908387673,96.744,0.24849517888660672,92.25,0.0010000000000000002
24,0.08942420268550401,97.118,0.24962496606609488,92.23,0.0010000000000000002
25,0.08457102194009229,97.182,0.2478066614911526,92.3,0.0010000000000000002
26,0.08166188886270041,97.31,0.25063136106804956,92.33,0.0010000000000000002
27,0.0798602323702839,97.408,0.24860742961681342,92.35,0.0010000000000000002
28,0.07802605173071785,97.42,0.25294344919391826,92.39,0.0010000000000000002
29,0.07541991060461535,97.49,0.25322825687972805,92.39,0.0010000000000000002
30,0.07069795663513796,97.764,0.2532064353552046,92.52,0.00010000000000000003
31,0.06508591004630641,97.91,0.2550749029917053,92.52,0.00010000000000000003
32,0.06608207045061051,97.894,0.25149540141036236,92.61,0.00010000000000000003
33,0.06510460177612731,97.948,0.25371767655958105,92.53,0.00010000000000000003
34,0.06248467174999397,98.02,0.2521771647130387,92.5,0.00010000000000000003
35,0.06363431542940304,98.046,0.25154275409405746,92.47,0.00010000000000000003
36,0.0644115068547218,97.954,0.2501857373156125,92.64,0.00010000000000000003
37,0.06295952545550397,98.046,0.2530057349159748,92.49,0.00010000000000000003
38,0.06389552686611176,98.012,0.25207697430366205,92.39,0.00010000000000000003
39,0.062212440061390095,98.054,0.25140231083842773,92.47,0.00010000000000000003
40,0.061401631051907914,98.032,0.2517760436557516,92.52,0.00010000000000000003
