Running Multi-Seed Experiment: gra on resnet110/cifar10 ratio=0.3 seeds=[0, 1, 2]
--- Seed 0 ---
Calculating scores using gra (rho=0.5)...
Pruning threshold: 0.7033
Building new resnet110...
Epoch 1/40 | Train Loss: 0.2211 Acc: 92.47% | Test Loss: 0.3877 Acc: 87.94% | Best: 87.94%
Epoch 2/40 | Train Loss: 0.1755 Acc: 93.85% | Test Loss: 0.3411 Acc: 89.37% | Best: 89.37%
Epoch 3/40 | Train Loss: 0.1594 Acc: 94.48% | Test Loss: 0.3488 Acc: 89.37% | Best: 89.37%
Epoch 4/40 | Train Loss: 0.1496 Acc: 94.82% | Test Loss: 0.3319 Acc: 89.84% | Best: 89.84%
Epoch 5/40 | Train Loss: 0.1379 Acc: 95.25% | Test Loss: 0.3119 Acc: 90.36% | Best: 90.36%
Epoch 6/40 | Train Loss: 0.1376 Acc: 95.23% | Test Loss: 0.3112 Acc: 90.45% | Best: 90.45%
Epoch 7/40 | Train Loss: 0.1309 Acc: 95.56% | Test Loss: 0.3312 Acc: 90.12% | Best: 90.45%
Epoch 8/40 | Train Loss: 0.1247 Acc: 95.70% | Test Loss: 0.3751 Acc: 89.22% | Best: 90.45%
Epoch 9/40 | Train Loss: 0.1279 Acc: 95.59% | Test Loss: 0.3316 Acc: 90.28% | Best: 90.45%
Epoch 10/40 | Train Loss: 0.1222 Acc: 95.83% | Test Loss: 0.3230 Acc: 90.25% | Best: 90.45%
Epoch 11/40 | Train Loss: 0.1170 Acc: 95.95% | Test Loss: 0.3360 Acc: 89.79% | Best: 90.45%
Epoch 12/40 | Train Loss: 0.1146 Acc: 96.04% | Test Loss: 0.3332 Acc: 90.23% | Best: 90.45%
Epoch 13/40 | Train Loss: 0.1123 Acc: 96.14% | Test Loss: 0.3690 Acc: 89.75% | Best: 90.45%
Epoch 14/40 | Train Loss: 0.1141 Acc: 96.10% | Test Loss: 0.3648 Acc: 89.25% | Best: 90.45%
Epoch 15/40 | Train Loss: 0.1130 Acc: 96.14% | Test Loss: 0.2982 Acc: 91.22% | Best: 91.22%
Epoch 16/40 | Train Loss: 0.1058 Acc: 96.37% | Test Loss: 0.3454 Acc: 90.13% | Best: 91.22%
Epoch 17/40 | Train Loss: 0.1063 Acc: 96.28% | Test Loss: 0.3255 Acc: 90.58% | Best: 91.22%
Epoch 18/40 | Train Loss: 0.1022 Acc: 96.50% | Test Loss: 0.3309 Acc: 90.46% | Best: 91.22%
Epoch 19/40 | Train Loss: 0.1050 Acc: 96.45% | Test Loss: 0.3233 Acc: 90.68% | Best: 91.22%
Epoch 20/40 | Train Loss: 0.1033 Acc: 96.51% | Test Loss: 0.3225 Acc: 90.51% | Best: 91.22%
Epoch 21/40 | Train Loss: 0.0521 Acc: 98.40% | Test Loss: 0.2410 Acc: 93.02% | Best: 93.02%
Epoch 22/40 | Train Loss: 0.0333 Acc: 99.06% | Test Loss: 0.2363 Acc: 93.27% | Best: 93.27%
Epoch 23/40 | Train Loss: 0.0285 Acc: 99.16% | Test Loss: 0.2374 Acc: 93.49% | Best: 93.49%
Epoch 24/40 | Train Loss: 0.0251 Acc: 99.31% | Test Loss: 0.2385 Acc: 93.36% | Best: 93.49%
