Epoch,TestAccuracy
0,82.44
1,83.27
2,84.94
3,84.58
4,84.21
5,85.17
6,85.23
7,84.23
8,85.73
9,85.02
10,84.95
11,84.59
12,85.14
13,85.15
14,85.54
15,85.96
16,86.25
17,85.48
18,84.41
19,86.23
20,85.96
21,84.87
22,85.97
23,85.94
24,85.58
25,82.85
26,86.56
27,86.64
28,85.92
29,84.9
30,86.67
31,85.73
32,86.81
33,86.97
34,86.18
35,86.82
36,85.13
37,84.86
38,85.86
39,84.74
40,86.25
41,87.33
42,85.45
43,85.91
44,84.24
45,86.21
46,84.61
47,84.88
48,86.25
49,87.17
50,89.54
51,89.72
52,89.63
53,89.77
54,89.74
55,89.81
56,89.69
57,89.75
58,89.68
59,89.82
60,89.73
61,89.86
62,90.04
63,89.92
64,89.79
65,89.93
66,89.61
67,89.65
68,89.82
69,89.76
70,90.11
71,90.03
72,89.87
73,89.82
74,89.96
75,89.95
76,89.88
77,89.81
78,89.92
79,89.93
80,89.91
81,90.0
82,89.96
83,90.05
84,89.93
85,89.84
86,89.93
87,89.92
88,90.03
89,89.91
90,90.04
91,89.94
92,89.93
93,89.97
94,90.04
95,90.01
96,89.96
97,90.01
98,89.92
99,89.8
