Epoch,TestAccuracy
0,78.77
1,81.09
2,82.14
3,82.89
4,84.02
5,84.09
6,83.3
7,83.67
8,83.09
9,84.57
10,83.53
11,82.94
12,84.27
13,84.1
14,84.17
15,83.18
16,84.51
17,84.44
18,85.68
19,84.01
20,84.26
21,85.02
22,85.0
23,85.36
24,83.4
25,84.15
26,85.2
27,85.39
28,84.12
29,84.49
30,84.81
31,86.1
32,83.73
33,84.2
34,85.19
35,84.38
36,84.25
37,85.14
38,84.06
39,85.1
40,83.23
41,85.15
42,85.67
43,82.39
44,84.24
45,85.33
46,84.83
47,85.65
48,85.0
49,85.0
50,88.38
51,88.59
52,88.58
53,88.33
54,88.53
55,88.66
56,88.52
57,88.66
58,88.45
59,88.51
60,88.52
61,88.53
62,88.32
63,88.62
64,88.28
65,88.26
66,88.43
67,88.57
68,88.33
69,88.57
70,88.43
71,88.42
72,88.57
73,88.47
74,88.26
75,88.48
76,88.49
77,88.52
78,88.59
79,88.56
80,88.57
81,88.53
82,88.57
83,88.44
84,88.47
85,88.48
86,88.42
87,88.46
88,88.52
89,88.47
90,88.5
91,88.52
92,88.48
93,88.5
94,88.6
95,88.38
96,88.46
97,88.57
98,88.38
99,88.5
