Epoch,TestAccuracy
0,82.59
1,84.25
2,84.05
3,84.37
4,84.25
5,85.31
6,85.21
7,85.73
8,85.06
9,85.07
10,85.89
11,83.67
12,85.13
13,85.67
14,85.28
15,86.14
16,84.79
17,84.21
18,84.18
19,85.18
20,86.11
21,85.86
22,86.18
23,85.13
24,85.14
25,86.08
26,85.5
27,84.53
28,85.94
29,86.03
30,86.09
31,86.48
32,85.76
33,86.55
34,86.61
35,86.37
36,86.52
37,84.87
38,85.69
39,86.4
40,86.23
41,86.35
42,84.81
43,84.11
44,86.38
45,85.89
46,86.76
47,86.29
48,85.44
49,86.61
50,89.0
51,89.08
52,89.07
53,89.18
54,89.07
55,89.18
56,89.17
57,89.23
58,89.1
59,89.18
60,88.99
61,89.22
62,89.11
63,89.16
64,89.26
65,89.48
66,89.31
67,89.18
68,89.22
69,89.47
70,89.34
71,89.13
72,89.12
73,89.06
74,89.26
75,89.3
76,89.3
77,89.24
78,89.27
79,89.22
80,89.33
81,89.33
82,89.39
83,89.3
84,89.42
85,89.36
86,89.41
87,89.35
88,89.39
89,89.32
90,89.31
91,89.3
92,89.35
93,89.4
94,89.3
95,89.4
96,89.32
97,89.35
98,89.26
99,89.34
