l1,gra,cosine,correlation,mi
9.56461,0.77857107,-0.06547757,0.10801347,0.1202637671015081
9.30253,0.6941446,0.22312865,0.047005773,0.09295435293490506
9.464684,0.720063,0.22219601,0.031871635,0.5177249887788333
9.717381,0.7043437,-0.21094994,0.08353072,0.4454818333294681
9.925789,0.7051161,-0.0559203,0.07083566,0.052555251487315324
10.428922,0.72391933,0.15182899,0.11552782,0.17455483910434744
9.465216,0.7720732,0.20560044,0.015104483,0.2594708988157617
9.742926,0.8062255,0.037261203,0.065772824,0.09819490070656656
9.507784,0.7710837,-0.2233113,0.01511276,0.3039503068955627
10.1574135,0.6812099,-0.18532802,0.105445355,0.1562698619075702
9.613942,0.6708631,-0.23109372,0.03965504,0.21761661029099155
10.814985,0.7289932,-0.22221875,0.05016984,0.5975043103274911
11.0203495,0.7410108,0.21607286,0.024007276,0.41192320594507636
9.516318,0.77145946,0.22707357,0.051605586,0.39084644146600356
9.963844,0.69017863,-0.21142602,0.008365248,0.14639541595146444
10.531736,0.66383934,-0.2094187,0.102078915,0.37882773811413273
10.168719,0.7483712,-0.22717471,0.0030476993,0.1693714203306289
10.661067,0.6789404,0.22025141,0.08869757,0.4567597249307074
9.102433,0.78356814,0.15944657,0.08645721,0.04481676657654443
10.038871,0.73179036,-0.22118762,0.05600794,0.531363486185966
9.807902,0.70707256,0.22584091,0.014355769,0.29439024884437703
9.962483,0.7933427,0.1959065,0.06751019,0.18471975311395816
9.161623,0.7263841,-0.22215953,0.035312373,0.19758612485193794
10.5762005,0.684551,0.21870735,0.07722155,0.3395107769933148
10.149418,0.6947566,0.2184744,0.06336255,0.5927593557180524
9.9969635,0.790164,0.19010822,0.06944155,0.11069297462949468
10.424738,0.7426336,-0.21951911,0.04519515,0.18152627142013067
9.681839,0.704899,-0.21815223,0.08061757,0.5249832915104413
8.802713,0.721733,0.22985461,0.025600744,0.3457447346146054
9.701839,0.78575706,-0.24307653,0.099766284,0.203000614149496
9.751204,0.70477414,0.22066186,0.0507537,0.5836895843271659
9.348089,0.6889265,-0.21344328,0.09811618,0.3837976003523429
