dataset,model,ratio,latency_ms,fps
cifar10,resnet20,0.0,1.5883700000995304,80585.75772142464
cifar10,resnet20,0.5,1.6138124999997672,79315.2860075247
cifar10,resnet56,0.0,4.276771500008181,29929.11826122933
cifar10,resnet56,0.5,4.1676120000192896,30713.03182719686
tinyimagenet,resnet18,0.0,11.624967999960063,11010.782997461993
tinyimagenet,resnet18,0.5,7.371984999917913,17363.030445860277
