Epoch,TestAccuracy
0,86.5
1,87.6
2,87.04
3,87.39
4,88.35
5,88.52
6,88.32
7,87.87
8,88.11
9,87.11
10,87.78
11,88.86
12,88.71
13,88.32
14,88.27
15,87.75
16,88.21
17,87.92
18,87.55
19,88.81
20,89.06
21,86.47
22,87.47
23,87.98
24,87.84
25,88.56
26,88.66
27,88.26
28,88.55
29,87.33
30,89.27
31,88.43
32,88.56
33,88.33
34,89.14
35,88.29
36,87.74
37,87.09
38,88.84
39,87.39
40,87.92
41,89.15
42,88.15
43,87.1
44,89.15
45,88.34
46,89.74
47,89.55
48,87.81
49,86.63
50,91.9
51,91.9
52,91.93
53,92.19
54,92.21
55,92.29
56,92.06
57,92.38
58,92.29
59,92.38
60,92.32
61,92.26
62,92.19
63,92.17
64,92.16
65,92.28
66,92.32
67,92.19
68,92.38
69,92.27
70,92.39
71,92.39
72,92.41
73,92.35
74,92.48
75,92.43
76,92.41
77,92.4
78,92.44
79,92.48
80,92.49
81,92.49
82,92.45
83,92.43
84,92.4
85,92.43
86,92.51
87,92.33
88,92.47
89,92.37
90,92.4
91,92.48
92,92.53
93,92.51
94,92.32
95,92.47
96,92.45
97,92.41
98,92.47
99,92.36
