arch,dataset,ratio,params_reduction_pct,flops_reduction_pct,latency_change_pct,throughput_change_pct,latency_speedup_x,throughput_speedup_x
resnet56,cifar100,0.7,68.98586383788677,68.25546948888905,10.36427203865955,-8.653926964323233,0.9060903329745242,0.9134607303567677
resnet56,cifar100,0.9,89.2395719690815,88.2543752002939,-6.524129996812144,8.663027902711807,1.069794803692008,1.086630279027118
vgg16,cifar100,0.7,90.86556671266504,90.83739987402737,-14.43783940822848,40.70395542644975,1.168740940018022,1.4070395542644976
vgg16,cifar100,0.9,98.96196375956416,98.92668774693499,-22.760286621551064,38.6669182029896,1.294670780431735,1.386669182029896
resnet18,tinyimagenet,0.7,68.19477773542883,68.92132050208905,-23.6312287595258,58.27595765980551,1.309435759875126,1.582759576598055
