arch,method,ratio,n,mean_acc,std_acc,mean_score_time_s,mean_total_time_s
vgg16,Taylor,0.6,5,64.586,0.4511,0.7755,232.62
vgg16,Taylor,0.65,5,60.748,0.5024,4.6761,73.26
vgg16,Taylor,0.7,5,61.51,0.4849,0.2444,237.76
vgg16,Taylor,0.75,5,42.172,23.0194,4.742,74.06
vgg16,Taylor,0.8,5,50.414,0.4865,0.7619,233.8
vgg16,Taylor,0.85,5,44.368,0.4769,4.7191,72.94
vgg16,Taylor,0.9,5,42.278,0.52,0.2458,236.28
vgg16,FPGM,0.45,5,70.1,0.227,0.0503,83.84
vgg16,FPGM,0.5,5,70.57,0.1598,0.0,0.0
vgg16,FPGM,0.55,5,68.056,0.1893,0.0495,84.0
vgg16,FPGM,0.6,5,66.688,1.1439,0.0,0.0
vgg16,FPGM,0.65,5,64.2,0.3777,0.0501,75.18
vgg16,FPGM,0.7,5,57.686,1.063,0.054,436.62
vgg16,FPGM,0.75,5,53.454,0.512,0.05,71.92
vgg16,FPGM,0.8,5,52.036,0.746,0.0,0.0
vgg16,FPGM,0.85,5,43.246,0.6627,0.05,72.3
vgg16,FPGM,0.9,5,34.518,1.7066,0.0541,426.04
vgg16,HRank,0.45,5,68.894,0.1913,761.9261,831.7
vgg16,HRank,0.5,5,69.902,0.2873,0.0,0.0
vgg16,HRank,0.55,5,67.598,0.1553,762.7306,832.96
vgg16,HRank,0.6,5,66.048,0.4285,784.4265,1022.34
vgg16,HRank,0.65,5,64.428,0.293,722.1992,793.82
vgg16,HRank,0.7,5,59.56,0.9685,1770.9078,2201.44
vgg16,HRank,0.75,5,54.156,0.5604,754.1584,824.88
vgg16,HRank,0.8,5,50.44,0.7652,766.2714,1008.9
vgg16,HRank,0.85,5,43.852,0.3117,762.1635,833.6
vgg16,HRank,0.9,5,35.518,0.7086,1714.9496,2159.46
