Epoch,TestAccuracy
0,83.32
1,84.24
2,84.9
3,85.47
4,84.86
5,84.92
6,85.53
7,83.33
8,85.93
9,86.24
10,83.8
11,85.62
12,85.43
13,85.14
14,86.61
15,84.51
16,86.26
17,84.71
18,85.66
19,85.36
20,87.03
21,86.15
22,84.41
23,85.82
24,85.3
25,85.38
26,86.6
27,86.18
28,84.22
29,86.55
30,85.33
31,87.11
32,85.92
33,86.01
34,86.42
35,85.85
36,86.12
37,85.38
38,86.22
39,85.85
40,85.84
41,84.15
42,84.2
43,86.1
44,86.08
45,86.52
46,86.23
47,83.66
48,85.91
49,86.38
50,89.23
51,89.72
52,90.03
53,89.74
54,89.88
55,89.77
56,89.64
57,90.01
58,89.86
59,89.99
60,89.92
61,90.04
62,90.08
63,89.94
64,89.83
65,89.78
66,89.94
67,89.9
68,89.93
69,89.87
70,89.72
71,90.06
72,89.74
73,89.81
74,89.77
75,90.04
76,90.11
77,90.05
78,90.06
79,89.98
80,90.0
81,89.87
82,90.09
83,90.15
84,90.06
85,90.07
86,90.19
87,90.21
88,90.1
89,90.01
90,90.0
91,90.07
92,90.04
93,90.11
94,89.99
95,89.92
96,90.05
97,90.08
98,90.07
99,90.09
