Epoch,TestAccuracy
0,88.0
1,88.84
2,88.6
3,89.05
4,89.12
5,88.96
6,89.23
7,88.95
8,88.59
9,89.68
10,89.36
11,89.23
12,89.21
13,88.84
14,89.46
15,88.0
16,88.72
17,89.24
18,88.05
19,88.82
20,88.49
21,88.61
22,88.5
23,89.16
24,88.03
25,88.66
26,88.84
27,88.63
28,88.6
29,87.84
30,88.74
31,87.93
32,88.01
33,87.94
34,88.45
35,87.83
36,88.44
37,88.51
38,88.52
39,87.29
40,88.31
41,88.56
42,88.82
43,87.25
44,88.02
45,88.08
46,88.95
47,88.82
48,88.6
49,89.5
50,91.64
51,91.74
52,91.79
53,91.92
54,92.13
55,92.08
56,92.08
57,92.06
58,91.98
59,91.91
60,92.06
61,92.04
62,92.14
63,91.95
64,92.1
65,92.13
66,92.05
67,92.17
68,92.23
69,92.05
70,92.14
71,92.2
72,92.16
73,92.09
74,92.25
75,92.31
76,92.33
77,92.35
78,92.33
79,92.36
80,92.32
81,92.32
82,92.3
83,92.27
84,92.32
85,92.32
86,92.29
87,92.29
88,92.42
89,92.34
90,92.35
91,92.25
92,92.32
93,92.27
94,92.43
95,92.33
96,92.38
97,92.24
98,92.24
99,92.34
