epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.7964927095281498,31.81,2.1568907106978985,33.11,0.010000000000000002
2,1.4491025578335424,46.26,1.4652315257470818,47.36,0.010000000000000002
3,1.2748221820577637,53.64,1.2164701721336268,54.89,0.010000000000000002
4,1.1492413207698051,58.584,1.0999652547172354,60.67,0.010000000000000002
5,1.0576033153192466,62.21,1.1737114704107936,60.28,0.010000000000000002
6,0.9799567695773775,65.172,1.0294496243513083,63.67,0.010000000000000002
7,0.9100296681799243,67.71,1.1201486904409867,61.7,0.010000000000000002
8,0.8519095144308436,69.69,1.0125487454329865,65.65,0.010000000000000002
9,0.799669008883064,71.788,0.866370084919507,69.22,0.010000000000000002
10,0.7535425855985383,73.534,0.8150306483612785,70.99,0.010000000000000002
11,0.7156339876944452,74.948,0.7957900822917118,72.99,0.010000000000000002
12,0.6836984614886896,76.24,0.7509344589861133,74.4,0.010000000000000002
13,0.6597975455129238,76.998,0.7478596530383146,74.23,0.010000000000000002
14,0.6383868359848667,77.734,0.7290924493270584,75.04,0.010000000000000002
15,0.6181765559994047,78.266,0.7719057643715339,74.66,0.010000000000000002
16,0.5975783021401262,79.276,0.7255449181870569,75.43,0.010000000000000002
17,0.5808224548464236,79.874,0.6958922445774078,76.83,0.010000000000000002
18,0.5620238948661043,80.492,0.6443176835398131,78.32,0.010000000000000002
19,0.5535484922054174,80.552,0.6389257919184769,77.82,0.010000000000000002
20,0.5392690353533801,81.29,0.6370401273045359,78.53,0.010000000000000002
21,0.5248878931297976,81.646,0.6282191140742241,78.15,0.010000000000000002
22,0.5202363264530211,81.854,0.6847880614709251,77.55,0.010000000000000002
23,0.5059043405306004,82.504,0.6157066192053542,78.89,0.010000000000000002
24,0.4984121231166908,82.848,0.6251503176326993,79.05,0.010000000000000002
25,0.4869192408021454,83.132,0.6569335030604012,78.13,0.010000000000000002
26,0.4809661128027055,83.25,0.5618634491781646,80.99,0.010000000000000002
27,0.4744790544747696,83.314,0.5819216778006735,80.06,0.010000000000000002
28,0.4641074071759763,83.936,0.5631293235700342,80.72,0.010000000000000002
29,0.4563864940572578,84.044,0.5245609317399278,82.15,0.010000000000000002
30,0.450813053742699,84.322,0.5282584383517881,81.77,0.010000000000000002
31,0.43793084379047387,84.776,0.547281621754924,81.25,0.010000000000000002
32,0.4371935127641234,84.716,0.5682543263405184,81.1,0.010000000000000002
33,0.428756449685987,85.118,0.5296617827460736,81.85,0.010000000000000002
34,0.42049022217083465,85.282,0.5514465506318249,81.64,0.010000000000000002
35,0.4176356689551907,85.424,0.5953696185274969,79.91,0.010000000000000002
36,0.41250235040474426,85.388,0.5900450790230232,80.56,0.010000000000000002
37,0.4086784888487643,85.744,0.6109652594674991,80.06,0.010000000000000002
38,0.40261004419278,85.95,0.51419536184661,82.79,0.010000000000000002
39,0.4017320931948664,85.932,0.5255921833877322,82.12,0.010000000000000002
40,0.3915805970616353,86.46,0.5142420975467826,83.05,0.010000000000000002
41,0.3875753753782843,86.528,0.47800434654272056,83.42,0.010000000000000002
