epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.8017681599273097,30.856,1.8476026631608795,35.09,0.010000000000000002
2,1.5243051497222821,43.396,1.5799693457687958,43.71,0.010000000000000002
3,1.370081871976633,49.764,1.2875235774849034,53.06,0.010000000000000002
4,1.2745183023345439,53.658,1.331712651856338,52.12,0.010000000000000002
5,1.1794294756086892,57.6,1.1341151255595534,59.02,0.010000000000000002
6,1.1110739040252802,60.016,1.422949176800402,53.92,0.010000000000000002
7,1.052248502173997,62.508,1.1859132904040663,59.18,0.010000000000000002
8,0.999932215494268,64.586,1.1157943651645998,61.7,0.010000000000000002
9,0.9510019574019001,66.274,1.037152410308017,64.52,0.010000000000000002
10,0.9148870988575089,67.712,1.270346056811417,58.66,0.010000000000000002
11,0.8741290430583613,69.222,1.0567537048194982,64.52,0.010000000000000002
12,0.8408994571022366,70.574,0.9465563093559651,67.93,0.010000000000000002
13,0.8146797516156951,71.36,0.7936428091194057,72.07,0.010000000000000002
14,0.78176544740072,72.47,1.0928673351867288,64.97,0.010000000000000002
15,0.7547091016988925,73.678,0.8830225905285606,70.39,0.010000000000000002
16,0.730461881288787,74.474,0.83119511679758,71.0,0.010000000000000002
