architecture,dataset,method,ratio,seed,baseline_acc,pruned_acc,acc_drop
resnet56,cifar100,l1,0.3,0,1.21,59.86,-58.65
resnet56,cifar100,l1,0.3,1,1.0,59.45,-58.45
resnet56,cifar100,l1,0.3,2,1.0,59.8,-58.8
resnet56,cifar100,l1,0.5,0,1.21,59.5,-58.29
resnet56,cifar100,l1,0.5,1,1.0,59.46,-58.46
resnet56,cifar100,l1,0.5,2,1.0,59.33,-58.33
resnet56,cifar100,l1,0.7,0,1.21,59.93,-58.72
resnet56,cifar100,l1,0.7,1,1.0,59.51,-58.51
resnet56,cifar100,l1,0.7,2,1.0,60.03,-59.03
resnet56,cifar100,fpgm,0.3,0,1.21,59.98,-58.769999999999996
resnet56,cifar100,fpgm,0.3,1,1.0,59.99,-58.99
resnet56,cifar100,fpgm,0.3,2,1.0,59.9,-58.9
resnet56,cifar100,fpgm,0.5,0,1.21,59.98,-58.769999999999996
resnet56,cifar100,fpgm,0.5,1,1.0,59.26,-58.26
resnet56,cifar100,fpgm,0.5,2,1.0,59.12,-58.12
resnet56,cifar100,fpgm,0.7,0,1.21,59.99,-58.78
resnet56,cifar100,fpgm,0.7,1,1.0,59.86,-58.86
resnet56,cifar100,fpgm,0.7,2,1.0,59.18,-58.18
resnet56,cifar100,hrank,0.3,0,1.21,59.95,-58.74
resnet56,cifar100,hrank,0.3,1,1.0,59.53,-58.53
resnet56,cifar100,hrank,0.3,2,1.0,60.14,-59.14
resnet56,cifar100,hrank,0.5,0,1.21,59.17,-57.96
resnet56,cifar100,hrank,0.5,1,1.0,58.93,-57.93
resnet56,cifar100,hrank,0.5,2,1.0,59.54,-58.54
resnet56,cifar100,hrank,0.7,0,1.21,58.81,-57.6
resnet56,cifar100,hrank,0.7,1,1.0,59.61,-58.61
resnet56,cifar100,hrank,0.7,2,1.0,59.58,-58.58
resnet56,cifar100,gra,0.3,0,1.21,60.25,-59.04
resnet56,cifar100,gra,0.3,1,1.0,60.19,-59.19
resnet56,cifar100,gra,0.3,2,1.0,59.94,-58.94
resnet56,cifar100,gra,0.5,0,1.21,59.83,-58.62
resnet56,cifar100,gra,0.5,1,1.0,59.18,-58.18
resnet56,cifar100,gra,0.5,2,1.0,60.04,-59.04
resnet56,cifar100,gra,0.7,0,1.21,59.75,-58.54
resnet56,cifar100,gra,0.7,1,1.0,58.63,-57.63
resnet56,cifar100,gra,0.7,2,1.0,59.67,-58.67
