architecture,dataset,method,ratio,seed,baseline_acc,pruned_acc,acc_drop
resnet110,cifar10,l1,0.3,0,10.0,87.35,-77.35
resnet110,cifar10,l1,0.3,1,10.0,87.11,-77.11
resnet110,cifar10,l1,0.3,2,9.25,87.55,-78.3
resnet110,cifar10,l1,0.5,0,10.0,87.4,-77.4
resnet110,cifar10,l1,0.5,1,10.0,87.07,-77.07
resnet110,cifar10,l1,0.5,2,9.25,86.92,-77.67
resnet110,cifar10,l1,0.7,0,10.0,86.9,-76.9
resnet110,cifar10,l1,0.7,1,10.0,87.28,-77.28
resnet110,cifar10,l1,0.7,2,9.25,87.51,-78.26
resnet110,cifar10,gra,0.3,0,10.0,87.14,-77.14
resnet110,cifar10,gra,0.3,1,10.0,87.06,-77.06
resnet110,cifar10,gra,0.3,2,9.25,87.26,-78.01
resnet110,cifar10,gra,0.5,0,10.0,87.21,-77.21
resnet110,cifar10,gra,0.5,1,10.0,87.2,-77.2
resnet110,cifar10,gra,0.5,2,9.25,87.79,-78.54
resnet110,cifar10,gra,0.7,0,10.0,87.42,-77.42
resnet110,cifar10,gra,0.7,1,10.0,87.24,-77.24
resnet110,cifar10,gra,0.7,2,9.25,87.46,-78.21
