Epoch,TestAccuracy
0,79.84
1,81.12
2,83.47
3,82.75
4,83.17
5,84.88
6,85.44
7,84.97
8,84.93
9,85.34
10,85.79
11,86.47
12,85.54
13,85.89
14,86.62
15,87.18
16,85.82
17,85.78
18,85.5
19,85.53
20,87.19
21,86.74
22,86.6
23,87.39
24,86.51
25,86.53
26,86.72
27,87.08
28,87.94
29,87.07
30,87.92
31,85.84
32,86.08
33,85.97
34,85.95
35,87.05
36,87.13
37,87.16
38,87.61
39,86.65
40,86.53
41,87.26
42,87.88
43,87.83
44,85.75
45,86.02
46,87.28
47,87.99
48,86.61
49,86.47
50,90.25
51,90.45
52,90.59
53,90.66
54,90.82
55,90.84
56,90.63
57,90.89
58,90.84
59,90.91
60,90.77
61,90.72
62,90.57
63,90.81
64,90.84
65,90.96
66,90.62
67,90.82
68,90.59
69,90.82
70,90.72
71,90.51
72,90.93
73,90.67
74,90.71
75,90.78
76,90.86
77,90.71
78,90.83
79,90.77
80,90.88
81,90.64
82,90.81
83,90.84
84,90.94
85,90.83
86,90.97
87,90.7
88,90.91
89,90.9
90,90.8
91,90.93
92,90.88
93,90.78
94,90.92
95,90.92
96,90.85
97,90.87
98,90.75
99,90.82
