epoch,train_loss,train_acc,test_loss,test_acc,lr
1,2.90684900472841,29.224,2.366443001771275,40.17,0.010000000000000002
2,1.899028459168456,48.464,2.1179298977308636,45.13,0.010000000000000002
3,1.6677603791741764,53.682,1.908697377277326,49.87,0.010000000000000002
4,1.5693582436617683,56.402,1.7296250575705419,53.28,0.010000000000000002
5,1.502166020595814,57.848,1.7345200475258162,53.06,0.010000000000000002
6,1.4589015367390858,59.0,1.8410069806666314,51.1,0.010000000000000002
7,1.424424922374813,59.89,1.8511301731761498,52.31,0.010000000000000002
8,1.3977891709798438,60.656,1.7622406920300255,53.39,0.010000000000000002
9,1.3708743549063993,61.03,1.6713346107096612,54.83,0.010000000000000002
10,1.359476492075664,61.404,1.6473487223250955,55.01,0.010000000000000002
11,1.3431580324307122,61.93,1.6637923400613326,55.09,0.010000000000000002
12,1.3315585299830912,62.108,1.6483329096926918,55.74,0.010000000000000002
13,1.3153668706069517,62.58,1.711536986918389,54.19,0.010000000000000002
14,1.3065608021853221,62.93,1.6088475743426551,55.91,0.010000000000000002
15,1.3001235542090044,63.176,1.8264047812811937,52.46,0.010000000000000002
16,1.2898118419720388,63.452,1.659220615519753,55.27,0.010000000000000002
17,1.283697899650125,63.29,1.686862972718251,55.39,0.010000000000000002
18,1.263716791596864,63.83,1.6406322838384895,55.05,0.010000000000000002
19,1.2632467932713307,63.958,1.6812646102301683,56.09,0.010000000000000002
20,1.26008856067877,64.124,1.5764750423310678,56.9,0.010000000000000002
21,1.2533139559009192,64.356,1.7086368482324141,54.41,0.010000000000000002
22,1.2452062555896046,64.274,1.6137104683284518,56.96,0.010000000000000002
23,1.2352038935932053,64.712,1.5930426799798314,56.4,0.010000000000000002
24,1.2256945728341027,64.98,1.703418583809575,55.37,0.010000000000000002
25,1.227440895631795,64.646,1.6855619708194007,55.37,0.010000000000000002
26,1.2196434745398324,64.94,1.6371890125395376,55.66,0.010000000000000002
27,1.2200087060403946,65.044,1.607268672955187,56.51,0.010000000000000002
28,1.2161507655287642,65.024,1.6014235834532147,56.57,0.010000000000000002
29,1.2111310891788025,65.266,1.6397015746635726,56.28,0.010000000000000002
30,1.2037141667607496,65.182,1.5929250973689406,56.59,0.010000000000000002
31,1.1965621949156837,65.404,1.605701792089245,56.57,0.010000000000000002
32,1.199798293125904,65.33,1.7521996301940725,53.96,0.010000000000000002
33,1.1912952470962348,65.716,1.5645756525329397,57.15,0.010000000000000002
34,1.1920539886140458,65.42,1.6470366127883331,55.64,0.010000000000000002
35,1.1833776003869294,65.754,1.5404002787191657,58.05,0.010000000000000002
36,1.182629289072188,65.936,1.5945180413089222,57.03,0.010000000000000002
37,1.1792105369250794,65.866,1.8636652155767512,52.04,0.010000000000000002
38,1.170162898957577,66.204,1.65205179739602,56.12,0.010000000000000002
39,1.171190596297574,66.074,1.6456583572339407,55.95,0.010000000000000002
40,1.1596485755937485,66.584,1.5256613357157647,58.66,0.010000000000000002
41,1.160490433273413,66.516,1.6279088771795924,56.62,0.010000000000000002
42,1.1629876703252573,66.224,1.6507679510720168,55.41,0.010000000000000002
43,1.1551800441863898,66.586,1.6016665455661243,57.09,0.010000000000000002
44,1.1546403405916355,66.502,1.6167035434819474,57.12,0.010000000000000002
45,1.1574986964235525,66.442,1.7984202843678148,52.67,0.010000000000000002
46,1.1489547442292314,66.902,1.6742565601686887,55.94,0.010000000000000002
47,1.1461145949485663,66.896,1.6144737925710557,56.57,0.010000000000000002
48,1.1442560882824462,66.864,1.6936599106728276,55.0,0.010000000000000002
49,1.1509653480766375,66.732,1.5500300443625148,58.2,0.010000000000000002
50,1.1353148537523605,67.234,1.599720303016373,57.09,0.0010000000000000002
51,0.9818762424961686,71.738,1.342560948450354,62.87,0.0010000000000000002
52,0.9338684867105216,73.176,1.3371161569522907,62.93,0.0010000000000000002
53,0.9215000567533781,73.596,1.3404455765893188,63.05,0.0010000000000000002
54,0.9129633235809443,73.814,1.3345142052143435,63.22,0.0010000000000000002
55,0.903888276623338,74.082,1.3312145690374737,63.04,0.0010000000000000002
56,0.8995525167726189,74.226,1.3343600781658027,63.56,0.0010000000000000002
57,0.8948564082765214,74.162,1.3434922883782205,63.08,0.0010000000000000002
58,0.8899319234406552,74.508,1.3423545088949083,63.24,0.0010000000000000002
59,0.8842067966985581,74.546,1.3387083916724483,63.38,0.0010000000000000002
60,0.8811525284786663,74.7,1.3399279276026954,63.24,0.0010000000000000002
61,0.8770992045512285,74.664,1.3318526654303828,63.24,0.0010000000000000002
62,0.875053867812047,74.922,1.3303722082814085,63.44,0.0010000000000000002
63,0.8732294953997483,74.77,1.3396228695217567,63.21,0.0010000000000000002
64,0.8675622834878809,75.116,1.3359591598752178,63.29,0.0010000000000000002
65,0.8686622321758124,75.218,1.3334019697165187,63.22,0.0010000000000000002
66,0.8664333568814465,74.926,1.3460773229599,63.32,0.0010000000000000002
67,0.8621928106488475,74.932,1.33663866866993,63.11,0.0010000000000000002
68,0.8591163451104518,75.272,1.3527994555763052,62.96,0.0010000000000000002
69,0.8599139615093045,75.184,1.3419672220568113,62.97,0.0010000000000000002
70,0.8573894662320461,75.384,1.3412759892548187,63.27,0.0010000000000000002
71,0.8510219287079619,75.664,1.3518181873273245,63.26,0.0010000000000000002
72,0.8486486251092018,75.586,1.3416143452064901,63.17,0.0010000000000000002
73,0.8516336641348231,75.138,1.3481542513340334,62.88,0.0010000000000000002
74,0.8522880130716602,75.254,1.3499095085300976,63.06,0.0010000000000000002
75,0.8429027442127237,75.636,1.35034686855123,63.35,0.00010000000000000003
76,0.8286012545266115,75.918,1.3378674780266195,63.38,0.00010000000000000003
77,0.8235565539821029,76.246,1.3370647045630444,63.47,0.00010000000000000003
78,0.8244412443826875,76.172,1.336247574679459,63.2,0.00010000000000000003
79,0.8221846608554616,76.126,1.3437347110313704,63.28,0.00010000000000000003
80,0.8166207073594604,76.482,1.336667944358874,63.52,0.00010000000000000003
81,0.8190957781908762,76.352,1.3401859930798978,63.42,0.00010000000000000003
82,0.8237577678297486,76.276,1.338482959361016,63.42,0.00010000000000000003
83,0.8202662910037029,76.414,1.3348767719691312,63.53,0.00010000000000000003
84,0.8203798974566447,76.426,1.3370964112161081,63.47,0.00010000000000000003
85,0.8155663653712748,76.354,1.337809988969489,63.39,0.00010000000000000003
86,0.8150350756352515,76.648,1.3421852332127244,63.43,0.00010000000000000003
87,0.8177170802260298,76.61,1.3375498961798753,63.53,0.00010000000000000003
88,0.8112127864757157,76.582,1.3403661198253873,63.41,0.00010000000000000003
89,0.8180081394627271,76.406,1.3410117897806288,63.48,0.00010000000000000003
90,0.8145697911072265,76.394,1.3379948086376432,63.47,0.00010000000000000003
91,0.8138928969802759,76.55,1.3426707922657835,63.39,0.00010000000000000003
92,0.8175349057940267,76.51,1.3368608989293063,63.46,0.00010000000000000003
93,0.8139818109514768,76.44,1.3402041061015069,63.33,0.00010000000000000003
94,0.8147904645756382,76.356,1.3401718713060211,63.55,0.00010000000000000003
95,0.8134505840213707,76.506,1.3358823724939852,63.37,0.00010000000000000003
96,0.815577327747784,76.58,1.3401333719869204,63.44,0.00010000000000000003
97,0.8152671932716808,76.252,1.3383479525771322,63.45,0.00010000000000000003
98,0.8107343314553771,76.512,1.3393642879739593,63.55,0.00010000000000000003
99,0.8134473621692804,76.414,1.3399481984633435,63.5,0.00010000000000000003
100,0.8116590449267336,76.54,1.341424822807312,63.4,0.00010000000000000003
