Method,Accuracy,FLOPs_M,Params_M,FLOPs_Red,Params_Red
l1,58.99,1233.133768,7.875528,0.72248879082106,0.3006885558228892
gra,59.5,2423.103688,5.440776,0.4546914115299543,0.5168835763133387
