epoch,train_loss,train_acc,test_loss,test_acc
0,1.5310259676345475,43.084,1.2807569706439972,54.49
1,1.0335550632928034,62.976,0.9534228926897049,66.32
2,0.8322354917940886,70.596,0.980584471821785,68.02
3,0.7195621164863372,74.952,0.9765282034873962,68.2
4,0.6495102729333941,77.314,0.7176362091302871,75.58
5,0.5929502832615162,79.5,0.6598348671197891,78.25
6,0.5551278156697598,80.798,0.7138686314225197,76.22
7,0.5288949513526828,81.634,0.6800709789991379,77.32
8,0.4979347339676469,82.838,0.5745996835827828,81.0
9,0.47923232999908955,83.398,0.5897477352619171,80.32
10,0.4561365771171687,84.232,0.8170772898197174,74.42
11,0.4434864838105029,84.716,0.6898413586616516,77.63
12,0.42381574773727476,85.284,0.6075408363342285,80.24
13,0.417541247461458,85.51,0.5800734120607376,80.49
14,0.40624469789245243,85.818,0.5807426995038987,81.07
15,0.3929699906683944,86.328,0.7183384969830513,77.78
16,0.3872612618348178,86.556,0.5433109420537948,81.7
17,0.3755155241550387,86.964,0.5727731576561927,81.5
18,0.36828595289336447,87.274,0.5261754590272903,83.24
19,0.35627527150046795,87.582,0.5249007999897003,82.5
20,0.3533942333191557,87.828,0.49973773568868635,83.88
21,0.3498691991924325,87.912,0.5001339019834995,83.88
22,0.345255267056053,87.768,0.5150612571835518,83.18
23,0.32969082461293703,88.524,0.48569498628377916,84.14
24,0.33072779756372844,88.42,0.445181331038475,85.23
25,0.3246630393635586,88.772,0.5021742698550224,83.47
26,0.3143115730770409,89.064,0.4968801368772984,84.29
27,0.31402342379702936,89.05,0.4550887684524059,84.9
28,0.30584668209943017,89.376,0.47270500838756563,84.67
29,0.29938162398307827,89.614,0.5003507831692695,83.43
30,0.30371962842124195,89.438,0.521128885447979,83.88
31,0.30086942428670577,89.57,0.44618396401405336,85.95
32,0.2931226948871637,89.778,0.49780493885278704,84.73
33,0.28992348543518337,89.992,0.4388446149230003,85.74
34,0.28925073005811636,89.816,0.7172514179348946,79.36
35,0.28859069129771286,89.754,0.5332002791762352,83.76
36,0.28394081571218,90.086,0.5276799541711807,83.29
37,0.2748413382055205,90.296,0.5023157157003879,84.75
38,0.2766847194689314,90.314,0.49040896162390707,84.78
39,0.2713769501279992,90.504,0.40726609751582143,86.47
40,0.2762851133142286,90.374,0.4872685134410858,84.68
41,0.2706888550916291,90.534,0.4178807851672173,86.7
42,0.26374828325741734,90.668,0.4275284779071808,86.48
43,0.2667984243510934,90.644,0.4082283440232277,86.59
44,0.2580190412414348,91.028,0.4722105786204338,84.72
45,0.26547578203937283,90.746,0.5469928342103958,83.36
46,0.2598655659067052,90.8,0.5224821810424328,84.85
47,0.2571821730498158,91.088,0.4863250218331814,85.07
48,0.25537166323350824,91.032,0.49728361278772354,84.72
49,0.2535571059416932,91.158,0.5051411348581314,84.5
50,0.2510358304585642,91.218,0.5131750659644604,84.84
51,0.2512392808714181,91.238,0.3930673663318157,87.25
52,0.24598678270035693,91.474,0.4646352419257164,85.57
53,0.24668683475621825,91.414,0.48342990666627883,84.93
54,0.24989131169245982,91.3,0.44201025888323786,86.01
55,0.24226200054673588,91.58,0.43785385087132456,86.42
56,0.2468110813432947,91.226,0.5272526469826698,84.88
57,0.24089166281930627,91.51,0.4685430333018303,86.2
58,0.24361876064859084,91.464,0.4703988069295883,85.76
59,0.24188230207661535,91.614,0.4895850931107998,85.37
60,0.24079309817394026,91.538,0.4302737557888031,86.6
61,0.23402399588805026,91.808,0.4678019316494465,85.53
62,0.2365801349625258,91.63,0.5842682892084121,82.3
63,0.23044641759923046,91.894,0.4404750229418278,86.29
64,0.23908723909836596,91.634,0.4684848427772522,85.84
65,0.23696392645006595,91.624,0.49748484387993813,85.37
66,0.23654746367117327,91.84,0.4595844787359238,85.07
67,0.23466721323826123,91.764,0.4916684103012085,85.43
68,0.23448949798827282,91.782,0.48653043806552887,85.31
69,0.22486173550186256,92.122,0.5931400847434998,83.61
70,0.22805391989476845,92.04,0.5612069118022919,83.17
71,0.2299287867401262,91.918,0.4060019914805889,87.67
72,0.22495334648796358,92.25,0.4380115807056427,86.95
73,0.22931022536190573,91.99,0.5963847869634629,82.57
74,0.22904180298985727,92.042,0.3922419534623623,87.53
75,0.22499488728583011,92.13,0.4126851762831211,86.91
76,0.22951356329195335,91.946,0.41765993893146514,87.27
77,0.22375432704873097,92.23,0.41851658031344413,87.0
78,0.22306280756545493,92.12,0.43964703679084777,86.83
79,0.22540155420903965,92.092,0.47209594056010246,85.61
80,0.22405942760007766,92.272,0.5252035811543465,84.58
81,0.2216225360970363,92.286,0.4164609260857105,87.3
82,0.22383543534580705,92.108,0.497452280074358,84.79
83,0.22239739775581432,92.212,0.4931131710112095,85.05
84,0.22038161268700723,92.29,0.43114806786179544,86.83
85,0.21489687155351003,92.62,0.4498351535201073,85.84
86,0.21922198623952355,92.256,0.42282966390252114,87.03
87,0.22350868226393408,92.156,0.42630255803465844,87.19
88,0.21773313605190847,92.342,0.48473327070474626,85.6
89,0.22048894881897266,92.208,0.5494209770858288,84.37
90,0.21490922974198676,92.432,0.47154353573918345,86.07
91,0.21678805259792397,92.34,0.4915046578645706,85.3
92,0.21633946983253255,92.406,0.5118579521775246,84.87
93,0.21814604014005806,92.482,0.5509848721325398,83.49
