architecture,dataset,ratio,metric,method_a,method_b,n,mean_a,mean_b,delta_mean,delta_std,seeds
resnet56,cifar100,0.7,final_acc,GRA-CHIP-v4C,CHIP,3,67.38333333333334,67.37666666666667,0.0066666666666700776,0.27956315128349246,"42,123,456"
resnet56,cifar100,0.9,final_acc,GRA-CHIP-v4C,CHIP,3,55.99,56.98666666666666,-0.9966666666666649,0.20805982045769703,"42,123,456"
vgg16,cifar100,0.7,final_acc,GRA-CHIP-v4C,CHIP,3,64.52333333333333,64.34333333333333,0.17999999999999736,0.032659863237108344,"42,123,456"
vgg16,cifar100,0.9,final_acc,GRA-CHIP-v4C,CHIP,3,42.38333333333333,42.81666666666666,-0.43333333333333,1.2156296950780507,"42,123,456"
