architecture,dataset,method,role,nominal_ratio,actual_ratio,seed,baseline_acc,pruned_acc,final_acc,flops_before,flops_after,flops_reduction_pct,params_before,params_after,iso_flops_target,iso_flops_actual,iso_flops_ratio,iso_flops_error_pct,score_time_s,total_time_s,epochs,timestamp
resnet56,cifar100,CHIP,reference,0.9,0.9,456,72.56,1.59,50.93,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,10.66,317.8,30,2026-03-02T15:47:15.879388
resnet56,cifar100,CHIP,reference,0.9,0.9,789,72.56,1.59,51.1,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,21.4,464.6,30,2026-03-02T05:17:55.296935
resnet56,cifar100,CHIP,reference,0.9,0.9,1024,72.56,1.59,51.22,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,20.03,466.6,30,2026-03-02T06:14:53.711220
resnet56,cifar100,CHIP,reference,0.9,0.9,2048,72.56,1.59,51.39,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,21.89,483.3,30,2026-02-28T08:17:35.889820
resnet56,cifar100,CHIP,reference,0.9,0.9,4096,72.56,1.59,50.55,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,22.81,540.0,30,2026-02-28T08:50:40.731345
resnet56,cifar100,CHIP,reference,0.9,0.9,8192,72.56,1.59,51.41,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,22.31,491.5,30,2026-02-28T09:24:00.558072
resnet56,cifar100,CHIP,reference,0.9,0.9,16384,72.56,1.59,51.31,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,20.07,452.7,30,2026-02-28T09:55:29.416739
resnet56,cifar100,CHIP,reference,0.9,0.9,32768,72.56,1.59,51.23,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,19.93,453.7,30,2026-02-28T10:26:01.541490
resnet56,cifar100,GRA-CHIP-v3,matched,0.9,0.9008,2048,72.56,1.0,51.23,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,44.53,507.8,30,2026-02-28T08:26:03.642133
resnet56,cifar100,GRA-CHIP-v3,matched,0.9,0.9008,4096,72.56,1.0,51.04,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,42.69,555.2,30,2026-02-28T08:59:55.901926
