architecture,dataset,ratio,method,seed,status,final_acc,compression_ratio,source_file,raw_method
vgg16,cifar100,0.5,L1,789,done,69.9700,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.5_s789.json,L1
vgg16,cifar100,0.5,L1,1024,done,70.5600,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.5_s1024.json,L1
vgg16,cifar100,0.5,Taylor,42,done,68.9100,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.5_s42.json,Taylor
vgg16,cifar100,0.5,Taylor,123,done,68.2800,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.5_s123.json,Taylor
vgg16,cifar100,0.5,Taylor,456,done,68.0400,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.5_s456.json,Taylor
vgg16,cifar100,0.5,Taylor,789,done,68.4600,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.5_s789.json,Taylor
vgg16,cifar100,0.5,Taylor,1024,done,68.4700,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.5_s1024.json,Taylor
vgg16,cifar100,0.5,FPGM,42,done,70.5200,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.5_s42.json,FPGM
vgg16,cifar100,0.5,FPGM,123,done,70.3600,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.5_s123.json,FPGM
vgg16,cifar100,0.5,FPGM,456,done,70.5100,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.5_s456.json,FPGM
vgg16,cifar100,0.5,FPGM,789,done,70.7100,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.5_s789.json,FPGM
vgg16,cifar100,0.5,FPGM,1024,done,70.7500,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.5_s1024.json,FPGM
vgg16,cifar100,0.5,HRank,42,done,69.7000,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_HRank_r0.5_s42.json,HRank
vgg16,cifar100,0.5,HRank,123,done,69.8700,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_HRank_r0.5_s123.json,HRank
vgg16,cifar100,0.5,HRank,456,done,70.2800,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_HRank_r0.5_s456.json,HRank
vgg16,cifar100,0.5,HRank,789,done,70.0900,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_HRank_r0.5_s789.json,HRank
vgg16,cifar100,0.5,HRank,1024,done,69.5700,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_HRank_r0.5_s1024.json,HRank
vgg16,cifar100,0.6,GRA-CNN,42,done,65.8800,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.6_s42.json,GRA-v7
vgg16,cifar100,0.6,GRA-CNN,123,done,64.6800,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.6_s123.json,GRA-v7
vgg16,cifar100,0.6,GRA-CNN,456,done,66.7000,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.6_s456.json,GRA-v7
vgg16,cifar100,0.6,GRA-CNN,789,done,65.0500,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.6_s789.json,GRA-v7
vgg16,cifar100,0.6,GRA-CNN,1024,done,64.3400,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.6_s1024.json,GRA-v7
vgg16,cifar100,0.6,CHIP,42,done,66.1700,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.6_s42.json,CHIP
vgg16,cifar100,0.6,CHIP,123,done,66.3900,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.6_s123.json,CHIP
vgg16,cifar100,0.6,CHIP,456,done,65.9100,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.6_s456.json,CHIP
vgg16,cifar100,0.6,CHIP,789,done,66.1000,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.6_s789.json,CHIP
vgg16,cifar100,0.6,CHIP,1024,done,66.3100,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.6_s1024.json,CHIP
vgg16,cifar100,0.6,L1,42,done,67.6000,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.6_s42.json,L1
vgg16,cifar100,0.6,L1,123,done,67.0600,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.6_s123.json,L1
vgg16,cifar100,0.6,L1,456,done,66.8600,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.6_s456.json,L1
vgg16,cifar100,0.6,L1,789,done,66.9700,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.6_s789.json,L1
vgg16,cifar100,0.6,L1,1024,done,68.0300,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.6_s1024.json,L1
vgg16,cifar100,0.6,Taylor,42,done,64.1200,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.6_s42.json,Taylor
vgg16,cifar100,0.6,Taylor,123,done,64.8600,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.6_s123.json,Taylor
vgg16,cifar100,0.6,Taylor,456,done,64.2300,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.6_s456.json,Taylor
vgg16,cifar100,0.6,Taylor,789,done,65.2100,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.6_s789.json,Taylor
vgg16,cifar100,0.6,Taylor,1024,done,64.5100,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.6_s1024.json,Taylor
vgg16,cifar100,0.6,FPGM,42,done,66.9700,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.6_s42.json,FPGM
vgg16,cifar100,0.6,FPGM,123,done,64.6700,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.6_s123.json,FPGM
vgg16,cifar100,0.6,FPGM,456,done,67.4000,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.6_s456.json,FPGM
vgg16,cifar100,0.6,FPGM,789,done,67.0400,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.6_s789.json,FPGM
vgg16,cifar100,0.6,FPGM,1024,done,67.3600,6.258200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.6_s1024.json,FPGM
vgg16,cifar100,0.6,HRank,42,done,66.1400,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.6_s42.json,HRank
vgg16,cifar100,0.6,HRank,123,done,66.7100,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.6_s123.json,HRank
vgg16,cifar100,0.6,HRank,456,done,65.7000,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.6_s456.json,HRank
vgg16,cifar100,0.6,HRank,789,done,65.6400,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.6_s789.json,HRank
vgg16,cifar100,0.6,HRank,1024,done,66.0500,6.204607,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.6_s1024.json,HRank
vgg16,cifar100,0.7,GRA-CNN,42,done,64.3900,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.7_s42.json,GRA-CHIP-v3
vgg16,cifar100,0.7,GRA-CNN,123,done,64.1100,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.7_s123.json,GRA-CHIP-v3
vgg16,cifar100,0.7,GRA-CNN,456,done,63.9500,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.7_s456.json,GRA-CHIP-v3
vgg16,cifar100,0.7,GRA-CNN,789,done,64.6000,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.7_s789.json,GRA-CHIP-v3
vgg16,cifar100,0.7,GRA-CNN,1024,done,64.8100,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.7_s1024.json,GRA-CHIP-v3
vgg16,cifar100,0.7,CHIP,42,done,64.3500,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.7_s42.json,CHIP
vgg16,cifar100,0.7,CHIP,123,done,64.3400,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.7_s123.json,CHIP
vgg16,cifar100,0.7,CHIP,456,done,64.3400,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.7_s456.json,CHIP
vgg16,cifar100,0.7,CHIP,789,done,64.7600,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.7_s789.json,CHIP
vgg16,cifar100,0.7,CHIP,1024,done,64.3600,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.7_s1024.json,CHIP
vgg16,cifar100,0.7,L1,42,done,63.4500,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.7_s42.json,L1
vgg16,cifar100,0.7,L1,123,done,63.1300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.7_s123.json,L1
vgg16,cifar100,0.7,L1,456,done,63.1600,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.7_s456.json,L1
vgg16,cifar100,0.7,L1,789,done,62.6700,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.7_s789.json,L1
vgg16,cifar100,0.7,L1,1024,done,61.6600,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.7_s1024.json,L1
vgg16,cifar100,0.7,Taylor,42,done,61.7500,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.7_s42.json,Taylor
vgg16,cifar100,0.7,Taylor,123,done,61.8800,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.7_s123.json,Taylor
vgg16,cifar100,0.7,Taylor,456,done,61.8300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.7_s456.json,Taylor
vgg16,cifar100,0.7,Taylor,789,done,61.3700,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.7_s789.json,Taylor
vgg16,cifar100,0.7,Taylor,1024,done,60.7200,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.7_s1024.json,Taylor
vgg16,cifar100,0.7,FPGM,42,done,57.6100,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.7_s42.json,FPGM
vgg16,cifar100,0.7,FPGM,123,done,57.9800,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.7_s123.json,FPGM
vgg16,cifar100,0.7,FPGM,456,done,59.2800,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.7_s456.json,FPGM
vgg16,cifar100,0.7,FPGM,789,done,56.4300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.7_s789.json,FPGM
vgg16,cifar100,0.7,FPGM,1024,done,57.1300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.7_s1024.json,FPGM
vgg16,cifar100,0.7,HRank,42,done,59.5300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.7_s42.json,HRank
vgg16,cifar100,0.7,HRank,123,done,59.7000,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.7_s123.json,HRank
vgg16,cifar100,0.7,HRank,456,done,60.4800,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.7_s456.json,HRank
vgg16,cifar100,0.7,HRank,789,done,57.9600,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.7_s789.json,HRank
vgg16,cifar100,0.7,HRank,1024,done,60.1300,10.947587,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.7_s1024.json,HRank
vgg16,cifar100,0.8,GRA-CNN,42,done,53.1700,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.8_s42.json,GRA-v7
vgg16,cifar100,0.8,GRA-CNN,123,done,53.1400,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.8_s123.json,GRA-v7
vgg16,cifar100,0.8,GRA-CNN,456,done,52.9400,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.8_s456.json,GRA-v7
vgg16,cifar100,0.8,GRA-CNN,789,done,54.0400,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.8_s789.json,GRA-v7
vgg16,cifar100,0.8,GRA-CNN,1024,done,53.0100,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.8_s1024.json,GRA-v7
vgg16,cifar100,0.8,CHIP,42,done,53.8800,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.8_s42.json,CHIP
vgg16,cifar100,0.8,CHIP,123,done,53.9000,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.8_s123.json,CHIP
vgg16,cifar100,0.8,CHIP,456,done,54.0500,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.8_s456.json,CHIP
vgg16,cifar100,0.8,CHIP,789,done,53.4300,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.8_s789.json,CHIP
vgg16,cifar100,0.8,CHIP,1024,done,53.7600,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.8_s1024.json,CHIP
vgg16,cifar100,0.8,L1,42,done,51.6300,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.8_s42.json,L1
vgg16,cifar100,0.8,L1,123,done,51.6700,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.8_s123.json,L1
vgg16,cifar100,0.8,L1,456,done,51.2200,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.8_s456.json,L1
vgg16,cifar100,0.8,L1,789,done,51.1700,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.8_s789.json,L1
vgg16,cifar100,0.8,L1,1024,done,52.0500,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.8_s1024.json,L1
vgg16,cifar100,0.8,Taylor,42,done,51.2500,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.8_s42.json,Taylor
vgg16,cifar100,0.8,Taylor,123,done,50.3000,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.8_s123.json,Taylor
vgg16,cifar100,0.8,Taylor,456,done,50.3200,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.8_s456.json,Taylor
vgg16,cifar100,0.8,Taylor,789,done,50.2200,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.8_s789.json,Taylor
vgg16,cifar100,0.8,Taylor,1024,done,49.9800,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.8_s1024.json,Taylor
vgg16,cifar100,0.8,FPGM,42,done,52.8900,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.8_s42.json,FPGM
vgg16,cifar100,0.8,FPGM,123,done,51.0800,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.8_s123.json,FPGM
vgg16,cifar100,0.8,FPGM,456,done,51.4700,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.8_s456.json,FPGM
vgg16,cifar100,0.8,FPGM,789,done,52.5100,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.8_s789.json,FPGM
vgg16,cifar100,0.8,FPGM,1024,done,52.2300,24.787100,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_FPGM_r0.8_s1024.json,FPGM
vgg16,cifar100,0.8,HRank,42,done,51.0900,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.8_s42.json,HRank
vgg16,cifar100,0.8,HRank,123,done,49.8500,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.8_s123.json,HRank
vgg16,cifar100,0.8,HRank,456,done,49.9800,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.8_s456.json,HRank
vgg16,cifar100,0.8,HRank,789,done,49.8400,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.8_s789.json,HRank
vgg16,cifar100,0.8,HRank,1024,done,51.4400,24.723903,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.8_s1024.json,HRank
vgg16,cifar100,0.9,GRA-CNN,42,done,43.0200,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.9_s42.json,GRA-CHIP-v3
vgg16,cifar100,0.9,GRA-CNN,123,done,42.1600,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.9_s123.json,GRA-CHIP-v3
vgg16,cifar100,0.9,GRA-CNN,456,done,43.1500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.9_s456.json,GRA-CHIP-v3
vgg16,cifar100,0.9,GRA-CNN,789,done,42.8400,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.9_s789.json,GRA-CHIP-v3
vgg16,cifar100,0.9,GRA-CNN,1024,done,43.0400,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_GRA-CHIP-v3_r0.9_s1024.json,GRA-CHIP-v3
vgg16,cifar100,0.9,CHIP,42,done,44.2300,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.9_s42.json,CHIP
vgg16,cifar100,0.9,CHIP,123,done,42.6500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.9_s123.json,CHIP
vgg16,cifar100,0.9,CHIP,456,done,41.5700,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.9_s456.json,CHIP
vgg16,cifar100,0.9,CHIP,789,done,42.4600,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.9_s789.json,CHIP
vgg16,cifar100,0.9,CHIP,1024,done,42.5600,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.9_s1024.json,CHIP
vgg16,cifar100,0.9,L1,42,done,1.0000,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.9_s42.json,L1
vgg16,cifar100,0.9,L1,123,done,1.0000,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.9_s123.json,L1
vgg16,cifar100,0.9,L1,456,done,1.0000,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.9_s456.json,L1
vgg16,cifar100,0.9,L1,789,done,43.3700,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.9_s789.json,L1
vgg16,cifar100,0.9,L1,1024,done,39.9100,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_L1_r0.9_s1024.json,L1
vgg16,cifar100,0.9,Taylor,42,done,42.0300,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.9_s42.json,Taylor
vgg16,cifar100,0.9,Taylor,123,done,41.5500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.9_s123.json,Taylor
vgg16,cifar100,0.9,Taylor,456,done,42.9200,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.9_s456.json,Taylor
vgg16,cifar100,0.9,Taylor,789,done,42.5500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.9_s789.json,Taylor
vgg16,cifar100,0.9,Taylor,1024,done,42.3400,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_Taylor_r0.9_s1024.json,Taylor
vgg16,cifar100,0.9,FPGM,42,done,32.7300,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.9_s42.json,FPGM
vgg16,cifar100,0.9,FPGM,123,done,35.8200,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.9_s123.json,FPGM
vgg16,cifar100,0.9,FPGM,456,done,36.3200,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.9_s456.json,FPGM
vgg16,cifar100,0.9,FPGM,789,done,32.7100,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.9_s789.json,FPGM
vgg16,cifar100,0.9,FPGM,1024,done,35.0100,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_FPGM_r0.9_s1024.json,FPGM
vgg16,cifar100,0.9,HRank,42,done,35.1000,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.9_s42.json,HRank
vgg16,cifar100,0.9,HRank,123,done,36.2500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.9_s123.json,HRank
vgg16,cifar100,0.9,HRank,456,done,34.5700,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.9_s456.json,HRank
vgg16,cifar100,0.9,HRank,789,done,35.5200,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.9_s789.json,HRank
vgg16,cifar100,0.9,HRank,1024,done,36.1500,96.335750,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_HRank_r0.9_s1024.json,HRank
