architecture,dataset,ratio,compare,n_pairs,mean_a,mean_b,mean_diff,std_diff,t_p,wilcoxon_p,ci95_low,ci95_high
resnet18,tinyimagenet,0.7,GRA-CHIP-v3-vs-CHIP,3,56.34,56.7267,0.3867,0.132,0.036739,0.25,0.2373,0.5361
resnet18,tinyimagenet,0.9,GRA-CHIP-v3-vs-CHIP,3,50.0133,49.64,-0.3733,0.2838,0.150344,0.25,-0.6945,-0.0522
