architecture,dataset,ratio,n_pairs,delta_gra_minus_chip,p_t,p_holm,p_wilcoxon,cohen_dz,ci95_low,ci95_high,significant_holm_p05
resnet56,cifar100,0.7,5,0.512,0.000614,0.001228,0.0625,4.3711,0.3666,0.6574,True
resnet56,cifar100,0.9,5,0.538,0.002006,0.002006,0.0625,3.2054,0.3296,0.7464,True
