architecture,dataset,ratio,method_a,method_b,n,mean_a,mean_b,delta_mean,delta_std,p_raw_ttest_rel,p_raw_wilcoxon,seeds
resnet56,cifar100,0.7,GRA-CHIP-v3.2,CHIP,3,67.6,67.37666666666667,0.2233333333333339,0.11614167593457114,0.1127967645898168,0.25,"42,123,456"
resnet56,cifar100,0.9,GRA-CHIP-v3.2,CHIP,3,57.5,56.98666666666666,0.5133333333333354,0.03399346342395164,0.0021854275093356698,0.25,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3.2,CHIP,3,64.16333333333334,64.34333333333333,-0.18000000000000208,0.2906314963431615,0.47346508299555284,0.75,"42,123,456"
vgg16,cifar100,0.9,GRA-CHIP-v3.2,CHIP,3,42.72333333333333,42.81666666666666,-0.09333333333333134,1.3531280632503155,0.9311875204976171,1.0,"42,123,456"
