architecture,dataset,ratio,comparison,delta_mean,p_raw_ttest_rel,p_holm_ttest_rel,cohen_d,ci95_low,ci95_high,n,seeds
resnet56,cifar100,0.7,v3_vs_chip,0.47666666666666896,0.026128654436930743,0.052257308873861485,3.501370064151791,0.3508823244743997,0.6024510088589382,3,"42,123,456"
vgg16,cifar100,0.7,v3_vs_chip,-0.19333333333333277,0.2632804280772286,0.2632804280772286,-0.8895747373669785,-0.394138143663796,0.007471476997130466,3,"42,123,456"
resnet56,cifar100,0.7,v3_vs_taylor,0.5533333333333369,0.1213609958055469,0.1213609958055469,1.5024624118182737,0.21305599111138662,0.8936106755552872,3,"42,123,456"
vgg16,cifar100,0.7,v3_vs_taylor,2.3300000000000005,0.004579473859943415,0.00915894771988683,8.50229075421686,2.0767964542990067,2.5832035457009943,3,"42,123,456"
