architecture,dataset,ratio,method_a,method_b,n,mean_a,mean_b,delta_mean,delta_std,ci95_low,ci95_high,cohen_d,p_raw_ttest_rel,p_holm_ttest_rel,p_raw_wilcoxon,seeds
resnet56,cifar100,0.7,GRA-CHIP-v3,CHIP,3,67.85333333333334,67.37666666666667,0.47666666666666896,0.11115554667022447,0.3508823244743997,0.6024510088589382,3.501370064151791,0.026128654436930743,0.052257308873861485,0.25,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3,CHIP,3,64.14999999999999,64.34333333333333,-0.19333333333333277,0.1774510887227521,-0.394138143663796,0.007471476997130466,-0.8895747373669785,0.2632804280772286,0.2632804280772286,0.5,"42,123,456"
